folio,A_fecha,A_1_1,A_1_2,A_2_1_1,A_2_1_2,A_2_1_3,A_2_1_4,A_2_1_5,A_2_1_6,A_2_1_7,A_2_1_O,A_3_1,A_4_1_1,A_4_1_2,A_4_1_3,A_4_1_4,A_4_1_O,A_4_21,A_4_22,A_4_23,A_4_24,A_4_25,A_4_26,A_4_27,A_4_2_1,A_4_2_2,A_4_2_3,A_4_2_4,A_4_2_5,A_4_2_O,A_4_2_6,A_4_3,A_4_3_O,A_4_4,A_4_4_O,A_4_5,A_4_6,A_4_7_1,A_4_7_2,A_4_7_3,A_4_7_4,A_4_7_5,A_4_7_O,A_5_1,A_5_2,A_5_3,A_5_4,A_5_5,A_5_6,A_5_7,A_5_8,A_5_9,A_6_1,A_6_2,A_6_3,A_6_4,A_7_1,A_7_1_O,A_7_2_1,A_7_2_2,A_7_2_3,A_7_2_4,A_7_2_5,A_7_2_6,A_7_2_7,A_7_2_8,A_7_2_9,A_7_2_O,A_7_3,A_7_3_O,A_8_1,A_8_2,A_9_1,A_9_2,A_9_3,A_9_4,A_10_1_1,A_10_1_2,A_10_1_3,A_10_2_1,A_10_2_2,A_10_2_3,A_10_2_4,A_10_2_5,A_10_2_6,A_10_2_7,A_10_2_8
0772-2015,30-Mar,2016,5-Nov,1985,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,No Sabe ,Otra,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,35,,,,,,No sabe,,Por internet,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,Sí,No confiaba en mi abogado,,,,,,80,80,0,0,0,4,4.0833335,4.0833335,55,Nada bien,Medianamente común,Mucho,55,Sí Sabe,90,Indemnización Constitucional,,,,,,,,,,No,,Algo de acuerdo,Mucho,No,Sí,75,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0910-2015,28-Apr,2016,4-Nov,1957,Primaria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no se permite demandar sin un abogado,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,80,100,0,0,0,2,3,2.5,100000,Medianamente bien,Muy común,Mucho,0,No Sabe,,No Sabe,,,,,,,,,,No,,Algo de acuerdo,Mucho,No,Sí,10,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$20,000 EN UN MES",,
1627-2015,20-Apr,2016,26-May,1972,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,25,,,,,,Sí sabe,517000,Me lo recomendaron en la Junta,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,100,300000,580000,450000,2,3,3,500000,No tan bien,Poco común,Mucho,500000,Sí Sabe,500000,Indemnización Constitucional,,,,,,,,,,No,,Algo de acuerdo,Mucho,No,Sí,100,Totalmente de acuerdo,"$50,000 ","$50,000 ","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$20,000 EN UN MES",,
1446-2015,30-Mar,2016,1-Dec,1990,Más que preparatoria,Indemnización por despido injustificado,Pago de prestaciones,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,35,,,,,,No sabe,,Otra,Afuera de conciliaciÃ³n,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,80,0,50000,100000,50000,2.25,3.0833333,3.0833333,50000,Nada bien,Muy común,Poco,50000,No Sabe,,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,Otro,,,,,Bonos,No,,Totalmente de acuerdo,Mucho,Sí,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 EN UN MES",,,,,
0076-2015,2-May,2016,12-Feb,1976,Más que preparatoria,No Sabe,,,,,,,,No Sabe ,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,35,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,80,20,0,0,0,2,2.0833333,2.0833333,500000,Nada bien,Medianamente común,Nada,0,No Sabe,,No Sabe,,,,,,,,,,No,,Poco de acuerdo,Mucho,No,No,,Algo de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$15,000 EN UN MES",,,
0717-2015,29-Mar,2016,5-Feb,1967,Más que preparatoria,Indemnización por despido injustificado,Pago de prestaciones,Otra,,,,,,51 a 100 empleados,Otra,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Otra,Que notengo,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,0,80000,120000,110000,4.9166665,6.9166665,5.9166665,115000,No tan bien,Medianamente común,Mucho,120000,Sí Sabe,90,Indemnización Constitucional,Aguinaldo,,,,,,,,,No,,Nada de acuerdo,Nada,No,Sí,4,Poco de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$15,000 EN UN MES",,,
0322-2016,29-Apr,2016,9-Mar,1980,Más que preparatoria,Indemnización por despido injustificado,Reinstalación en mi trabajo,Pago de prestaciones,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,35,,,,,,No sabe,,Me lo recomendaron en la Junta,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,90,100,65000,90000,70000,1.5,2.5,1.6666666,65000,Muy bien,Poco común,Poco,65000,Sí Sabe,90,Indemnización Constitucional,Reinstalación,Horas extraordinarias,,,,,,,,Sí,1,Poco de acuerdo,Mucho,Sí,No,,Algo de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$15,000 EN UN MES",,,
1332-2012,11-Apr,2016,14-Apr,1990,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,1 a 10 empleados,Porque no se permite demandar sin un abogado,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",No,,,,,,,100,100,50000,70000,70000,5.5,6.5,5.6666665,80000,No tan bien,Muy común,Mucho,90000,No Sabe,,Indemnización Constitucional,,,,,,,,,,No,,Poco de acuerdo,Mucho,No,Sí,50,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$12,000 EN UN MES",,,,
0596-2012,27-Apr,2016,15-Aug,1974,Secundaria,Indemnización por despido injustificado,,,,,,,,1 a 10 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,35,,,,,,No sabe,,Es un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,50,10,9999,9999,9999,3.5,4.8333335,4.1666665,9999,Nada bien,Nada común,Mucho,9999,No Sabe,,Seguro de gastos médicos mayores,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,,No,,Poco de acuerdo,Mucho,Sí,Sí,50,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 EN UN MES",,,,,
0362-2016,13-May,2016,4-Mar,1970,Secundaria,Indemnización por despido injustificado,Pago de prestaciones,Pago de finiquito,,,,,,11 a 50 empleados,Porque no se permite demandar sin un abogado,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,80,60,15000,25000,15000,1.5,2.5,1.5,10000,Medianamente bien,Poco común,Poco,15000,Sí Sabe,90,Indemnización Constitucional,Aguinaldo,,,,,,,,,Sí,2,Algo de acuerdo,Medianamente,Sí,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 EN UN MES",,,,,
0707-2015,14-Mar,2016,3-Feb,1956,Secundaria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,20,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",Sí,El desempeño de mi abogado era deficiente,,,,,,100,100,9000,13000,10000,1.9166666,2.9166667,2.5,70000,Nada bien,Poco común,Mucho,120000,Sí Sabe,120000,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,,No,,Poco de acuerdo,Medianamente,No,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
1637-2015,20-Apr,2016,29-Aug,1965,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no se permite demandar sin un abogado,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,35,,,,,,No sabe,,Ya había trabajado con él antes,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,0,80000,100000,100000,2,3,3,100000,No tan bien,Muy común,Medianamente,100000,Sí Sabe,90,Indemnización Constitucional,Reinstalación,,,,,,,,,Sí,2,Poco de acuerdo,Mucho,Sí,Sí,30,Algo de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 EN UN MES",,,,,
1613-2015,6-Apr,2016,11-Jun,1984,Preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,10,17000,30000,20000,0,2,1,25000,Muy bien,Muy común,Medianamente,25000,No Sabe,,Indemnización Constitucional,,,,,,,,,,No,,Algo de acuerdo,Poco ,No,Sí,100,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$20,000 EN UN MES",,
1415-2014,27-Apr,2016,4-Aug,1975,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Pago para iniciar el juicio,,,,,,,10000,,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,90,10,100000,150000,100000,2.0833333,4.4166665,3.1666667,10000,Medianamente bien,Muy común,Mucho,150000,No Sabe,,Indemnización Constitucional,Reinstalación,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,No,,Algo de acuerdo,Medianamente,Sí,No,,Poco de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$20,000 EN UN MES",,
1548-2015,14-Apr,2016,4-Feb,1982,Secundaria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no se permite demandar sin un abogado,Porque no tengo los conocimientos para demandar,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,80,80,8000,12000,10000,1.1666666,1.5,1.5,8000,Medianamente bien,Poco común,Mucho,15000,No Sabe,,Indemnización Constitucional,Prima por trabajar los sábados,Aguinaldo,,,,,,,,Sí,1,Algo de acuerdo,Medianamente,No,Sí,80,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
1666-2015,27-Apr,2016,3-Mar,1981,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no se permite demandar sin un abogado,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,70,70,800,1000,1000,1.9166666,2.9166667,2.8333333,15000,No tan bien,Medianamente común,Mucho,25000,No Sabe,,Indemnización Constitucional,,,,,,,,,,Sí,1,Nada de acuerdo,Mucho,No,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0125-2015,17-Mar,2016,15-Mar,1991,Preparatoria,Indemnización por despido injustificado,,,,,,,,No Sabe ,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,50,50,0,0,0,1,1.1666666,1.1666666,0,Nada bien,Muy común,Mucho,0,No Sabe,,No Sabe,,,,,,,,,,No,,Poco de acuerdo,Mucho,Sí,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$20,000 EN UN MES",,
0906-2015,21-Apr,2016,17-Apr,1987,Preparatoria,Indemnización por despido injustificado,,,,,,,,51 a 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,Sí sabe,40,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,90,10,30000,60000,40000,1.1666666,2,1.6666666,40000,Medianamente bien,Muy común,Mucho,60000,Sí Sabe,30,Indemnización Constitucional,Horas extraordinarias,Aguinaldo,,,,,,,,No,,Algo de acuerdo,Mucho,No,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
1984-2015,11-Apr,2016,8-Feb,1978,Secundaria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no se permite demandar sin un abogado,,,,,Un solo pago SOLO si gano el juicio,,,,,,,,,,,30,,,No sabe,,Me lo recomendaron en la Junta,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,60,30,3000,5000,3000,1.6666666,2.1666667,1.8333334,3000,Nada bien,Muy común,Mucho,3000,No Sabe,,Indemnización Constitucional,,,,,,,,,,No,,Nada de acuerdo,Medianamente,No,Sí,50,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$15,000 EN UN MES",,,
0302-2016,29-Apr,2016,10-Sep,1984,Más que preparatoria,Indemnización por despido injustificado,Reinstalación en mi trabajo,Otra,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Pago mensual,,,,,,,,,100000,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,50,0,0,0,2,2.0833333,2.0833333,500000,Nada bien,Muy común,Nada,500000,Sí Sabe,90,Indemnización Constitucional,Reinstalación,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,No,,Poco de acuerdo,Mucho,No,Sí,50,Poco de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 EN UN MES",,,,,
0452-2015,24-May,2016,9-Dec,1992,Preparatoria,Indemnización por despido injustificado,,,,,,,,51 a 100 empleados,Otra,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Otra,Recomendado,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,70,40,9600,12000,10200,2.3333333,2.6666667,2.4166667,12000,No tan bien,Muy común,Medianamente,15000,Sí Sabe,90,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,,,,,,,,No,,Poco de acuerdo,Mucho,Sí,No,,Nada de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$12,000 EN UN MES",,,,
1760-2014,27-Apr,2016,18-Oct,1964,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,Sí sabe,200000,Es un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,50,200000,350000,200000,2,3,2,200000,Medianamente bien,Muy común,Medianamente,200000,Sí Sabe,90,Indemnización Constitucional,Horas extraordinarias,Aguinaldo,Otro,,,,,,Comisiones,No,,Totalmente de acuerdo,Mucho,Sí,Sí,50,Algo de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$12,000 EN UN MES",,,,
2083-2015,20-Apr,2016,18-Jun,1971,Más que preparatoria,Indemnización por despido injustificado,Pago de prestaciones,Pago de finiquito,Otra,,,,,Más de 100 empleados,Porque no se permite demandar sin un abogado,Porque no tengo los conocimientos para demandar,,,,Porcentaje(%) de lo que obtengo en el juicio,Un solo pago SOLO si gano el juicio,,,,,,,35,,,30000,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,95,90,180000,420000,240000,6.4166665,8.5,7.5,320000,Medianamente bien,Muy común,Medianamente,340000,Sí Sabe,90,Indemnización Constitucional,Horas extraordinarias,Aguinaldo,,,,,,,,No,,Poco de acuerdo,Mucho,Sí,No,,Algo de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$15,000 EN UN MES",,,
1803-2015,2-May,2016,23-Jun,1989,Preparatoria,Pago de finiquito,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",No,,,,,,,80,50,5000,17000,13000,1,2.25,1,10000,Medianamente bien,Poco común,Mucho,17000,No Sabe,,Aguinaldo,,,,,,,,,,No,,Poco de acuerdo,Mucho,Sí,No,,Algo de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0973-2017,11-Apr,2016,10-Nov,1985,Preparatoria,Indemnización por despido injustificado,,,,,,,,1 a 10 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,35,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,90,30,150000,250000,200000,2,3,3,200000,Muy bien,Nada común,Nada,200000,No Sabe,,Indemnización Constitucional,,,,,,,,,,No,,Algo de acuerdo,Mucho,No,Sí,100,Algo de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
1619-2015,20-Apr,2016,3-Jan,1967,Preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,25,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,60,60,80000,120000,90000,1,5,3,90000,Nada bien,Muy común,Mucho,100000,No Sabe,,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,,No,,Poco de acuerdo,Mucho,No,Sí,30,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$20,000 EN UN MES",,
0465-2016,27-May,2016,2-Apr,1974,Secundaria,Indemnización por despido injustificado,,,,,,,,1 a 10 empleados,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,0,36000,56000,40000,0.5,1,1,36000,Nada bien,Nada común,Mucho,36000,No Sabe,,Indemnización Constitucional,Prima por trabajar los sábados,,,,,,,,,No,,Totalmente de acuerdo,Medianamente,Sí,Sí,100,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0442-2016,27-May,2016,13-Oct,1984,Preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no se permite demandar sin un abogado,Porque no tengo los conocimientos para demandar,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,35,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,80,80,20000,45000,40000,3,3.0833333,3.0833333,50000,Nada bien,Muy común,Mucho,50000,Sí Sabe,90,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,Otro,,,,,Aguinaldo,No,,Algo de acuerdo,Mucho,No,Sí,90,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
1200-2012,14-Apr,2016,18-Apr,1957,Secundaria,Indemnización por despido injustificado,Reinstalación en mi trabajo,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,No sabe,,Es un familiar o amigo,,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",Sí,El abogado decidió dejar el caso,,,,,,60,60,0,0,0,4.5,5,4.5833335,0,No tan bien,Muy común,Poco,0,Sí Sabe,90,Indemnización Constitucional,Reinstalación,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,No,,Algo de acuerdo,Mucho,Sí,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
1671-2011,11-May,2016,17-Sep,1972,Preparatoria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,15,,,,,,No sabe,,Ya había trabajado con él antes,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,80,40,800000,900000,850000,5.5,7.3333335,6.1666665,65000,No tan bien,Poco común,Poco,85000,No Sabe,,Indemnización Constitucional,,,,,,,,,,No,,Poco de acuerdo,Mucho,No,Sí,50,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","$50,000 ","$50,000 ","$10,000 EN UN MES",,,,,
1424-2015,30-Mar,2016,18-May,1952,Primaria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no se permite demandar sin un abogado,Porque no tengo los conocimientos para demandar,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,50,0,8000,10000,9000,1,1.5,1.4166666,10000,Medianamente bien,Medianamente común,Nada,10000,No Sabe,,Indemnización Constitucional,,,,,,,,,,No,,Nada de acuerdo,Mucho,Sí,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0844-2016,11-Apr,2016,12-Aug,1969,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,51 a 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,20,,,,,,Sí sabe,199000,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,60,60,150000,199000,170000,1.0833334,1.1666666,1.0833334,150000,Medianamente bien,Muy común,Medianamente,250000,Sí Sabe,20,Indemnización Constitucional,Aguinaldo,Otro,,,,,,,Ninguna,Sí,1,Poco de acuerdo,Mucho,No,Sí,50,Totalmente de acuerdo,"$50,000 ","$50,000 ","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$12,000 EN UN MES",,,,
0534-2007,17-Mar,2016,11-Jan,1965,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,51 a 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,"Mi abogado decidiría si aceptar o no la oferta, sin consultarme",No,,,,,,,100,100,1000000,1500000,1500000,1.9166666,2.9166667,2.8333333,1300000,Medianamente bien,Medianamente común,Mucho,1500000,No Sabe,,Indemnización Constitucional,,,,,,,,,,No,,Poco de acuerdo,Mucho,Sí,No,,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$15,000 EN UN MES",,,
